CMDLINE /usr/bin/python3 rrt.py
MEM 63.675781 1717599064.3420
MEM 63.675781 1717599064.4426
MEM 63.675781 1717599064.5433
MEM 63.675781 1717599064.6437
MEM 63.675781 1717599064.7443
MEM 63.675781 1717599064.8446
MEM 63.675781 1717599064.9453
MEM 63.675781 1717599065.0456
MEM 63.675781 1717599065.1465
MEM 63.675781 1717599065.2472
MEM 63.675781 1717599065.3476
MEM 63.675781 1717599065.4483
MEM 63.675781 1717599065.5486
MEM 63.675781 1717599065.6493
MEM 63.675781 1717599065.7496
MEM 63.675781 1717599065.8503
MEM 63.675781 1717599065.9507
MEM 63.675781 1717599066.0513
MEM 63.675781 1717599066.1516
MEM 63.675781 1717599066.2523
MEM 63.675781 1717599066.3526
MEM 63.675781 1717599066.4533
MEM 63.675781 1717599066.5537
MEM 63.675781 1717599066.6543
MEM 63.675781 1717599066.7548
MEM 63.675781 1717599066.8554
MEM 63.675781 1717599066.9561
MEM 63.675781 1717599067.0566
MEM 63.675781 1717599067.1573
MEM 63.675781 1717599067.2576
MEM 63.675781 1717599067.3582
MEM 63.675781 1717599067.4586
MEM 63.675781 1717599067.5593
MEM 63.675781 1717599067.6596
MEM 63.675781 1717599067.7603
MEM 63.675781 1717599067.8606
MEM 63.675781 1717599067.9613
MEM 63.675781 1717599068.0617
MEM 63.675781 1717599068.1624
MEM 63.675781 1717599068.2626
MEM 63.675781 1717599068.3633
MEM 63.675781 1717599068.4637
MEM 63.675781 1717599068.5644
MEM 63.675781 1717599068.6646
MEM 63.675781 1717599068.7653
MEM 63.675781 1717599068.8658
MEM 63.675781 1717599068.9665
MEM 63.675781 1717599069.0672
MEM 63.675781 1717599069.1676
MEM 63.675781 1717599069.2683
MEM 63.675781 1717599069.3690
MEM 63.675781 1717599069.4696
MEM 63.675781 1717599069.5703
MEM 63.675781 1717599069.6706
MEM 63.675781 1717599069.7713
MEM 63.675781 1717599069.8716
MEM 63.675781 1717599069.9723
MEM 63.675781 1717599070.0726
MEM 63.675781 1717599070.1733
MEM 63.675781 1717599070.2736
MEM 63.675781 1717599070.3743
MEM 63.675781 1717599070.4746
MEM 63.675781 1717599070.5753
MEM 63.675781 1717599070.6756
MEM 63.675781 1717599070.7763
MEM 63.675781 1717599070.8767
MEM 63.675781 1717599070.9774
MEM 63.675781 1717599071.0776
MEM 63.675781 1717599071.1783
MEM 63.675781 1717599071.2787
MEM 63.675781 1717599071.3793
MEM 63.675781 1717599071.4796
MEM 63.675781 1717599071.5803
MEM 63.675781 1717599071.6806
MEM 63.675781 1717599071.7813
MEM 63.675781 1717599071.8819
MEM 63.675781 1717599071.9826
MEM 63.675781 1717599072.0833
MEM 63.675781 1717599072.1837
MEM 63.675781 1717599072.2843
MEM 63.675781 1717599072.3847
MEM 63.675781 1717599072.4854
MEM 63.675781 1717599072.5856
MEM 63.675781 1717599072.6863
MEM 63.675781 1717599072.7867
MEM 63.675781 1717599072.8874
MEM 63.675781 1717599072.9876
MEM 63.675781 1717599073.0883
MEM 63.675781 1717599073.1886
MEM 63.675781 1717599073.2893
MEM 63.675781 1717599073.3897
MEM 63.675781 1717599073.4904
MEM 63.675781 1717599073.5907
MEM 63.675781 1717599073.6913
MEM 63.675781 1717599073.7916
MEM 63.675781 1717599073.8923
MEM 63.675781 1717599073.9927
MEM 63.675781 1717599074.0933
MEM 63.675781 1717599074.1936
MEM 63.675781 1717599074.2943
MEM 63.675781 1717599074.3947
MEM 63.675781 1717599074.4954
MEM 63.675781 1717599074.5960
MEM 63.675781 1717599074.6966
MEM 63.675781 1717599074.7973
MEM 63.675781 1717599074.8976
MEM 63.675781 1717599074.9983
MEM 63.675781 1717599075.0987
MEM 63.675781 1717599075.1994
MEM 63.675781 1717599075.2996
MEM 63.675781 1717599075.4003
MEM 63.675781 1717599075.5006
MEM 63.675781 1717599075.6013
MEM 63.675781 1717599075.7019
MEM 63.675781 1717599075.8025
MEM 63.675781 1717599075.9032
